"SUBJ";"CRSE";"SEQ";"CATALOG_TITLE";"INSTR_TYPE";"DAYS";"START_TIME";"END_TIME";"ROOM_CAP"
"AERO";3240;"A";"Orbital Mechanics";"LEC";"WF";1005;1125;40
"AERO";3240;"A1";"Orbital Mechanics";"TUT";"W";835;925;40
"AERO";3700;"A";"Aerospace Materials";"LEC";"WF";1135;1255;98
"AERO";3700;"A1";"Aerospace Materials";"TUT";"M";1635;1725;94
"AERO";4003;"A";"Aerospace Systems Design";"LEC";"MW";1135;1255;96
"AERO";4003;"A1";"Aerospace Systems Design";"LAB";"M";1435;1725;50
"AERO";4003;"A2";"Aerospace Systems Design";"LAB";"W";835;1125;50
"AERO";4009;"A";"Aviation Managemt & Certific.";"LEC";"R";1805;2055;36
"AERO";4302;"A";"Aerodynamics & Heat Transfer";"LEC";"TR";1605;1725;96
"AERO";4304;"A";"Computational Fluid Dynamics";"LEC";;;;
"AERO";4306;"A";"Aerospace Vehicle Performance";"LEC";"TR";1305;1425;66
"AERO";4402;"A";"Aerospace Propulsion";"LEC";"TR";1005;1125;40
"AERO";4446;"A";"Heat Transfer for Aerosp Appli";"LEC";"MW";1305;1425;40
"AERO";4540;"A";"Spacecraft Dynamics & Control";"LEC";"WF";1605;1725;36
"AERO";4608;"A";"Composite Materials";"LEC";"TR";1435;1555;57
"AERO";4842;"A";"Space Mission Design";"LEC";"TR";1135;1255;27
"AERO";4842;"A1";"Space Mission Design";"TUT";"W";1035;1125;36
"AFRI";1001;"A";"Intro to African Studies";"LEC";"MW";1135;1225;444
"AFRI";1001;"A01";"Intro to African Studies";"GRP";"W";1235;1325;36
"AFRI";1001;"A02";"Intro to African Studies";"GRP";"W";1335;1425;30
"AFRI";1001;"A03";"Intro to African Studies";"GRP";"W";1235;1325;30
"AFRI";1001;"A04";"Intro to African Studies";"GRP";"W";1335;1425;42
"AFRI";1001;"A05";"Intro to African Studies";"GRP";"W";1235;1325;39
"AFRI";1001;"A06";"Intro to African Studies";"GRP";"W";1335;1425;42
"AFRI";1001;"A07";"Intro to African Studies";"GRP";"W";1235;1325;39
"AFRI";1001;"A08";"Intro to African Studies";"GRP";"W";1335;1425;35
"AFRI";2001;"A";"Africa:Culture,Society,Politic";"LEC";"T";1435;1625;78
"AFRI";2001;"A01";"Africa:Culture,Society,Politic";"GRP";"M";1435;1525;27
"AFRI";2001;"A02";"Africa:Culture,Society,Politic";"GRP";"M";1335;1425;27
"AFRI";2001;"A03";"Africa:Culture,Society,Politic";"GRP";;;;
"AFRI";2001;"A04";"Africa:Culture,Society,Politic";"GRP";"M";1235;1325;27
"AFRI";3900;"A";"Placement";"PLA";;;;
"AFRI";4000;"A";"Advan Topics African Studies";"SEM";"M";1135;1425;39
"ALDS";1001;"A";"Lang Matters: Intro. to ALDS";"LEC";"MW";1435;1555;96
"ALDS";1001;"PA1";"Lang Matters: Intro. to ALDS";"PAS";"MWF";1635;1725;21
"ALDS";1001;"W";"Lang Matters: Intro. to ALDS";"LEC";;;;
"ALDS";2201;"A";"Analysis of Oral Language Use";"LEC";"TR";1135;1255;57
"ALDS";2203;"A";"Linguis Theor&Secon Lang Learn";"LEC";"MW";1135;1255;57
