"SUBJ";"CRSE";"SEQ";"CATALOG_TITLE";"INSTR_TYPE";"DAYS";"START_TIME";"END_TIME";"ROOM_CAP"
"AERO";3002;"A";"Aerospace Design and Practice";"LEC";"TR";1005;1125;154
"AERO";3002;"A1";"Aerospace Design and Practice";"LAB";"F";1435;1725;96
"AERO";3002;"A2";"Aerospace Design and Practice";"LAB";"W";835;1125;84
"AERO";3101;"A";"Lightweight Structures";"LEC";"TR";835;955;40
"AERO";3101;"A1";"Lightweight Structures";"TUT";"W";1335;1425;36
"AERO";3841;"A";"Spacecraft Design";"LEC";"TR";1305;1425;58
"AERO";3841;"A1";"Spacecraft Design";"LAB";"F";835;1125;36
"AERO";4304;"A";"Computational Fluid Dynamics";"LEC";"TR";1005;1125;66
"AERO";4308;"A";"Aircraft Stability & Control";"LEC";"TR";1135;1255;94
"AERO";4442;"A";"Transatmosp Spacecrft Propulsn";"LEC";"TR";1305;1425;58
"AERO";4602;"A";"Introductory Aeroelasticity";"LEC";"MW";1435;1555;54
"AERO";4609;"A";"Joining of Materials";"LEC";"TR";835;955;57
"AFRI";1002;"A";"Intro to African Studies II";"LEC";"WF";1035;1125;391
"AFRI";1002;"A01";"Intro to African Studies II";"GRP";"W";935;1025;40
"AFRI";1002;"A02";"Intro to African Studies II";"GRP";"F";1135;1225;31
"AFRI";1002;"A03";"Intro to African Studies II";"GRP";"W";935;1025;23
"AFRI";1002;"A04";"Intro to African Studies II";"GRP";"F";1135;1225;23
"AFRI";1002;"A05";"Intro to African Studies II";"GRP";"W";935;1025;31
"AFRI";1002;"A06";"Intro to African Studies II";"GRP";"F";1135;1225;35
"AFRI";1002;"A07";"Intro to African Studies II";"GRP";"W";935;1025;25
"AFRI";1002;"A08";"Intro to African Studies II";"GRP";"F";1135;1225;47
"AFRI";3001;"A";"Globalizatn & Pop Cltr Africa";"LEC";"TR";1005;1125;58
"AFRI";3900;"A";"Placement";"PLA";;;;
"AFRI";4050;"A";"Sel Topics in African Studies";"SEM";"W";1435;1725;28
"AFRI";4900;"A";"Tutorial in African Studies";"TUT";;;;
"ALDS";1001;"B";"Lang Matters: Intro. to ALDS";"LEC";"MW";1305;1425;96
"ALDS";1001;"PB2";"Lang Matters: Intro. to ALDS";"PAS";;;;
"ALDS";2202;"A";"Analysis of Written Lang Use";"LEC";"TR";1135;1255;58
